Airport,DateTime,Type_METAR,Dewpoint_METAR (C),Temperature_METAR (C),Visibility_METAR (km),Ceiling_METAR (ft),Wind_speed_METAR (kt),Wind_direction_METAR (degrees),Weather_METAR ,Flight_category_METAR,Type_TAF,Visibility_TAF (km),Ceiling_TAF (ft),Wind_speed_TAF (kt),Wind_direction_TAF (ddegrees),Weather_TAF,Flight_category_TAF,Altitude (ft),Latitude (degrees),Longitude (degrees),Distance (km),Error_type,Koppen Climate Classification
PHNL,2024-11-23 06:00:00,METAR,16.1,23.3,10+,100000,5,40,None reported,VFR,TAF,6+,18000,6,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-23 00:00:00,METAR,17.2,26.7,10+,20000,9,170,None reported,VFR,TAF,6+,100000,8,170,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-22 18:00:00,METAR,17.2,21.7,10+,100000,4,340,None reported,VFR,TAF,6+,100000,6,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-22 12:00:00,METAR,16.1,20,10+,100000,4,340,None reported,VFR,TAF,6+,100000,6,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-22 06:00:00,METAR,15.6,23.9,10+,100000,8,60,None reported,VFR,TAF,6+,100000,8,40,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-22 00:00:00,METAR,15.6,28.3,10+,100000,15,40,None reported,VFR,TAF,6+,100000,11,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-21 18:00:00,METAR,17.8,23.9,10+,100000,5,50,None reported,VFR,TAF,6+,100000,11,50,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-21 12:00:00,METAR,17.2,23.3,10+,100000,6,80,None reported,VFR,TAF,6+,100000,11,50,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-21 06:00:00,METAR,18.3,24.4,10+,100000,9,70,None reported,VFR,TAF,6+,100000,11,70,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-21 00:00:00,METAR,16.1,28.9,10+,100000,12,90,None reported,VFR,TAF,6+,100000,12,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-20 18:00:00,METAR,16.7,24.4,10+,100000,13,70,None reported,VFR,TAF,6+,100000,11,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-20 12:00:00,METAR,18.3,23.9,10+,100000,11,60,None reported,VFR,TAF,6+,100000,10,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-20 06:00:00,METAR,19.4,25,10+,100000,11,60,None reported,VFR,TAF,6+,100000,15,70,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-20 00:00:00,METAR,18.9,28.9,10+,100000,15,50,None reported,VFR,TAF,6+,100000,13,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-19 18:00:00,METAR,18.9,25,10+,100000,9,50,None reported,VFR,TAF,6+,100000,9,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-19 12:00:00,METAR,18.3,24.4,10+,100000,8,70,None reported,VFR,TAF,6+,100000,12,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-19 06:00:00,METAR,18.3,25.6,10+,100000,9,70,None reported,VFR,TAF,6+,100000,14,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-19 00:00:00,METAR,18.3,28.9,10+,100000,15,50,None reported,VFR,TAF,6+,100000,12,70,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-18 18:00:00,METAR,18.9,25,10+,100000,8,70,None reported,VFR,TAF,6+,100000,11,70,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-18 12:00:00,METAR,18.3,23.9,10+,100000,12,60,None reported,VFR,TAF,6+,4500,11,60,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-18 06:00:00,METAR,17.2,25,10+,100000,13,70,None reported,VFR,TAF,6+,100000,17,70,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-18 00:00:00,METAR,17.8,27.8,10+,100000,16,60,None reported,VFR,TAF,6+,100000,18,70,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-17 18:00:00,METAR,18.3,25,10+,100000,13,60,None reported,VFR,TAF,6+,100000,18,70,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-17 12:00:00,METAR,17.8,24.4,10+,100000,14,60,None reported,VFR,TAF,6+,100000,10,80,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-17 06:00:00,METAR,18.3,25.6,10+,100000,18,60,'-RA,VFR,TAF,6+,100000,15,60,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-17 00:00:00,METAR,18.9,28.3,10+,100000,15,80,None reported,VFR,TAF,6+,100000,22,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-16 18:00:00,METAR,18.9,25.6,10+,100000,15,60,None reported,VFR,TAF,6+,100000,20,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-16 12:00:00,METAR,17.8,25,10+,100000,22,70,None reported,VFR,TAF,6+,100000,15,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-16 06:00:00,METAR,17.8,25.6,10+,100000,17,70,None reported,VFR,TAF,6+,100000,17,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-16 00:00:00,METAR,16.7,29.4,10+,100000,20,80,None reported,VFR,TAF,6+,100000,21,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-15 18:00:00,METAR,18.3,25,10+,100000,9,70,None reported,VFR,TAF,6+,100000,13,50,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-15 12:00:00,METAR,17.8,24.4,10+,100000,12,70,None reported,VFR,TAF,6+,100000,15,60,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-15 06:00:00,METAR,17.2,25.6,10+,100000,12,70,None reported,VFR,TAF,6+,100000,14,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-15 00:00:00,METAR,19.4,28.3,10+,100000,24,50,None reported,VFR,TAF,6+,100000,20,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-14 18:00:00,METAR,19.4,26.1,10+,100000,8,60,None reported,VFR,TAF,6+,100000,14,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-14 12:00:00,METAR,19.4,25,10+,100000,15,60,None reported,VFR,TAF,6+,5000,14,50,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-14 06:00:00,METAR,18.3,25.6,10+,100000,16,60,None reported,VFR,TAF,6+,100000,12,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-14 00:00:00,METAR,18.9,28.9,10+,100000,20,70,None reported,VFR,TAF,6+,100000,20,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-13 18:00:00,METAR,21.1,23.3,10+,4000,14,50,'-RA,VFR,TAF,6+,5000,14,60,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-13 12:00:00,METAR,18.9,25,10+,4700,17,70,None reported,VFR,TAF,6+,4000,11,60,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-13 06:00:00,METAR,20.6,23.9,10+,4100,7,90,None reported,VFR,TAF,6+,4000,11,60,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-13 00:00:00,METAR,19.4,28.3,10+,4900,16,60,None reported,VFR,TAF,6+,100000,18,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-12 18:00:00,METAR,19.4,25,10+,100000,12,70,None reported,VFR,TAF,6+,100000,13,60,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-12 12:00:00,METAR,18.9,25,10+,100000,10,60,None reported,VFR,TAF,6+,100000,12,50,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-12 06:00:00,METAR,20.6,25.6,10+,5500,11,70,None reported,VFR,TAF,6+,4000,8,60,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-11-12 00:00:00,METAR,20,28.3,10+,4700,16,60,None reported,VFR,TAF,6+,100000,14,80,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-19 18:00:00,METAR,21.1,27.2,10+,100000,5,360,None reported,VFR,TAF,6+,100000,5,50,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-19 12:00:00,METAR,21.1,26.1,10+,8000,5,70,None reported,VFR,TAF,6+,100000,5,50,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-19 06:00:00,METAR,20.6,26.7,10+,100000,10,70,None reported,VFR,TAF,6+,100000,11,50,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-19 00:00:00,METAR,21.1,30,10+,100000,14,140,None reported,VFR,TAF,6+,100000,12,130,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-18 18:00:00,METAR,21.1,27.2,10+,100000,5,110,None reported,VFR,TAF,6+,100000,5,40,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-18 12:00:00,METAR,21.1,26.1,10+,7500,7,30,None reported,VFR,TAF,6+,7000,5,40,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-18 06:00:00,METAR,20.6,26.7,10+,4700,8,80,None reported,VFR,TAF,6+,4000,8,60,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-18 00:00:00,METAR,20,29.4,10+,4900,10,50,None reported,VFR,TAF,6+,100000,12,90,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-17 18:00:00,METAR,18.9,27.2,10+,100000,4,80,None reported,VFR,TAF,6+,100000,6,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-17 12:00:00,METAR,19.4,24.4,10+,100000,4,40,None reported,VFR,TAF,6+,100000,7,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-17 06:00:00,METAR,18.9,26.1,10+,100000,10,60,None reported,VFR,TAF,6+,100000,11,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-17 00:00:00,METAR,16.7,30.6,10+,100000,15,60,None reported,VFR,TAF,6+,100000,17,70,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-16 18:00:00,METAR,18.9,26.1,10+,100000,12,60,None reported,VFR,TAF,6+,100000,10,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-16 12:00:00,METAR,18.9,26.1,10+,100000,11,60,None reported,VFR,TAF,6+,100000,10,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-16 06:00:00,METAR,18.9,26.1,10+,100000,14,60,None reported,VFR,TAF,6+,100000,12,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-16 00:00:00,METAR,17.8,30.6,10+,100000,17,50,None reported,VFR,TAF,6+,100000,18,70,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-15 18:00:00,METAR,20,26.1,10+,100000,11,60,None reported,VFR,TAF,6+,100000,11,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-15 12:00:00,METAR,21.1,24.4,10+,100000,4,70,None reported,VFR,TAF,6+,100000,6,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-15 06:00:00,METAR,22.8,26.1,10+,4200,4,80,'-RA,VFR,TAF,6+,4000,10,80,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-15 00:00:00,METAR,21.1,28.9,10+,3800,8,110,None reported,VFR,TAF,6+,5000,12,70,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-14 18:00:00,METAR,22.2,23.9,10+,7500,4,10,None reported,VFR,TAF,6+,4000,6,VRB,'-SHRA,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-14 12:00:00,METAR,21.7,23.9,10+,5500,5,360,None reported,VFR,TAF,6+,100000,6,VRB,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-14 06:00:00,METAR,17.8,26.1,10+,100000,7,50,None reported,VFR,TAF,6+,100000,8,40,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-14 00:00:00,METAR,18.3,30,10+,100000,13,60,None reported,VFR,TAF,6+,6000,11,70,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-13 18:00:00,METAR,19.4,26.7,10+,100000,11,70,None reported,VFR,TAF,6+,100000,5,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-13 12:00:00,METAR,19.4,23.9,10+,100000,5,310,None reported,VFR,TAF,6+,100000,6,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-13 06:00:00,METAR,18.9,26.1,10+,100000,5,40,None reported,VFR,TAF,6+,100000,6,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-13 00:00:00,METAR,18.9,30,10+,6500,11,60,None reported,VFR,TAF,6+,6000,10,80,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-12 18:00:00,METAR,20.6,26.1,10+,5000,0,0,None reported,VFR,TAF,6+,100000,5,340,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-12 12:00:00,METAR,20,23.9,10+,100000,4,340,None reported,VFR,TAF,6+,100000,6,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-12 06:00:00,METAR,18.9,26.7,10+,100000,4,30,None reported,VFR,TAF,6+,100000,6,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-12 00:00:00,METAR,18.3,31.7,10+,100000,14,80,None reported,VFR,TAF,6+,100000,12,80,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-11 18:00:00,METAR,20.6,26.1,10+,10000,3,VRB,None reported,VFR,TAF,6+,100000,7,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-11 12:00:00,METAR,20.6,25,10+,100000,7,40,None reported,VFR,TAF,6+,100000,6,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-11 06:00:00,METAR,21.1,26.7,10+,100000,5,50,None reported,VFR,TAF,6+,100000,6,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-11 00:00:00,METAR,20.6,30.6,10+,100000,7,40,None reported,VFR,TAF,6+,100000,9,50,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-10 18:00:00,METAR,20.6,27.2,10+,100000,10,40,None reported,VFR,TAF,6+,100000,6,VRB,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-10 12:00:00,METAR,19.4,25.6,10+,100000,7,60,None reported,VFR,TAF,6+,100000,6,VRB,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-10 06:00:00,METAR,19.4,26.7,10+,6500,13,80,None reported,VFR,TAF,6+,100000,9,30,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-10 00:00:00,METAR,18.3,30.6,10+,100000,15,40,None reported,VFR,TAF,6+,100000,12,50,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-09 18:00:00,METAR,18.9,26.1,10+,100000,7,40,None reported,VFR,TAF,6+,100000,11,50,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-09 12:00:00,METAR,18.9,25.6,10+,100000,8,50,None reported,VFR,TAF,6+,6000,6,VRB,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-09 06:00:00,METAR,20,25,10+,100000,7,30,None reported,VFR,TAF,6+,100000,6,VRB,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-09 00:00:00,METAR,15.6,30.6,10+,100000,14,50,None reported,VFR,TAF,6+,100000,12,50,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-08 18:00:00,METAR,18.9,26.7,10+,100000,7,30,None reported,VFR,TAF,6+,100000,6,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-08 12:00:00,METAR,18.9,25,10+,100000,9,70,None reported,VFR,TAF,6+,100000,9,70,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-08 06:00:00,METAR,19.4,26.7,10+,100000,12,60,None reported,VFR,TAF,6+,100000,14,70,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-08 00:00:00,METAR,17.8,30.6,10+,100000,13,60,None reported,VFR,TAF,6+,100000,14,60,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-07 18:00:00,METAR,19.4,26.7,10+,100000,11,60,None reported,VFR,TAF,6+,100000,6,VRB,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-07 12:00:00,METAR,19.4,25.6,10+,100000,5,50,None reported,VFR,TAF,6+,100000,6,VRB,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-07 06:00:00,METAR,19.4,26.1,10+,100000,12,70,None reported,VFR,TAF,6+,100000,13,60,VCSH,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-07 00:00:00,METAR,18.3,30.6,10+,7000,14,60,None reported,VFR,TAF,6+,6000,12,70,None reported,VFR,13,21.318681,'-157.922428,5.57,Correct - No error (0),Af
PHNL,2024-10-06 18:00:00,METAR,20,26.1,10+,100000,8,70,None reported,VFR,TAF,6+,4500,9,70,VCSH,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-06 12:00:00,METAR,19.4,25,10+,100000,9,70,None reported,VFR,TAF,6+,4500,8,70,VCSH,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-06 06:00:00,METAR,19.4,26.1,10+,100000,9,70,None reported,VFR,TAF,6+,100000,8,60,VCSH,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-06 00:00:00,METAR,18.3,30,10+,100000,12,40,None reported,VFR,TAF,6+,100000,11,70,VCSH,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-05 18:00:00,METAR,20.6,25,10+,100000,0,0,None reported,VFR,TAF,6+,100000,4,VRB,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-05 12:00:00,METAR,20,23.9,10+,100000,5,10,None reported,VFR,TAF,6+,4500,5,330,VCSH,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-05 06:00:00,METAR,20.6,24.4,10+,6000,3,VRB,None reported,VFR,TAF,6+,100000,8,50,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-05 00:00:00,METAR,17.2,30,10+,100000,9,30,None reported,VFR,TAF,6+,6000,10,60,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-04 18:00:00,METAR,20,25,10+,100000,4,310,None reported,VFR,TAF,6+,100000,6,320,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-04 12:00:00,METAR,18.9,25,10+,100000,0,0,None reported,VFR,TAF,6+,100000,8,50,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-04 06:00:00,METAR,18.9,26.1,10+,100000,6,40,None reported,VFR,TAF,6+,100000,12,60,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-04 00:00:00,METAR,18.9,31.7,10+,100000,15,60,None reported,VFR,TAF,6+,100000,12,60,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-03 18:00:00,METAR,20.6,26.7,10+,100000,6,60,None reported,VFR,TAF,6+,100000,5,330,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-03 12:00:00,METAR,20,24.4,10+,100000,8,70,None reported,VFR,TAF,6+,100000,8,60,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-03 06:00:00,METAR,19.4,26.1,10+,100000,13,50,None reported,VFR,TAF,6+,100000,11,40,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-03 00:00:00,METAR,18.9,30.6,10+,100000,11,60,None reported,VFR,TAF,6+,100000,12,60,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-02 18:00:00,METAR,21.1,26.1,10+,100000,9,80,None reported,VFR,TAF,6+,5000,5,VRB,VCSH,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-02 12:00:00,METAR,21.1,25.6,10+,5500,3,20,None reported,VFR,TAF,6+,4000,8,60,VCSH,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-02 06:00:00,METAR,21.7,26.7,10+,100000,9,40,None reported,VFR,TAF,6+,100000,8,60,VCSH,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-02 00:00:00,METAR,18.9,31.7,10+,100000,12,100,None reported,VFR,TAF,6+,4500,13,70,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-01 18:00:00,METAR,20.6,26.7,10+,100000,9,80,None reported,VFR,TAF,6+,100000,8,70,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-01 12:00:00,METAR,20,25,10+,100000,7,70,None reported,VFR,TAF,6+,100000,8,50,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-01 06:00:00,METAR,19.4,25.6,10+,100000,8,40,None reported,VFR,TAF,6+,100000,8,80,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-10-01 00:00:00,METAR,22.8,25,2.5,5000,8,120,'-RA BR,IFR,TAF,6+,4500,12,110,VCSH,VFR,13,21.318681,'-157.922428,21.42,Fail to Detect - Type II (2) error,Af
PHNL,2024-09-30 18:00:00,METAR,21.7,25,10+,6500,7,60,'-RA,VFR,TAF,6+,100000,6,60,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
PHNL,2024-09-30 12:00:00,METAR,19.4,25.6,10+,100000,9,60,None reported,VFR,TAF,6+,100000,6,60,None reported,VFR,13,21.318681,'-157.922428,21.42,Correct - No error (0),Af
